 ,Area,Mean,Min,Max,X,Y
1,0,47,47,47,590.012,29.735
2,0,62,62,62,579.056,57.906
3,0,64,64,64,572.796,139.287
4,0,53,53,53,574.361,106.421
5,0,84,84,84,588.446,114.246
6,0,47,47,47,610.357,54.776
7,0,48,48,48,795.029,125.201
8,0,42,42,42,907.710,170.587
9,0,68,68,68,896.755,172.152
10,0,50,50,50,874.845,169.022
11,0,67,67,67,868.585,230.058
12,0,87,87,87,852.934,226.927
13,0,67,67,67,860.760,250.403
14,0,52,52,52,851.369,266.053
15,0,50,50,50,827.894,286.398
16,0,97,97,97,776.249,231.623
17,0,126,126,126,666.697,286.398
18,0,64,64,64,651.047,281.703
19,0,31,31,31,619.747,225.362
20,0,64,64,64,525.846,220.667
21,0,23,23,23,516.456,206.582
22,0,59,59,59,499.240,129.896
23,0,23,23,23,502.371,303.613
24,0,52,52,52,533.671,266.053
25,0,49,49,49,467.940,236.318
26,0,78,78,78,438.205,334.914
27,0,50,50,50,461.680,358.389
28,0,75,75,75,402.209,300.483
29,0,47,47,47,361.519,266.053
30,0,66,66,66,350.564,297.353
31,0,68,68,68,353.694,331.784
32,0,50,50,50,378.734,395.949
33,0,60,60,60,287.963,355.259
34,0,65,65,65,262.923,353.694
35,0,49,49,49,241.013,350.564
36,0,53,53,53,220.667,345.869
37,0,81,81,81,192.497,356.824
38,0,55,55,55,187.802,339.609
39,0,47,47,47,189.367,297.353
40,0,42,42,42,228.493,269.183
41,0,89,89,89,205.017,262.923
42,0,46,46,46,223.797,328.654
43,0,29,29,29,150.242,427.250
44,0,60,60,60,128.331,447.595
45,0,39,39,39,217.537,453.855
46,0,73,73,73,233.188,406.904
47,0,55,55,55,314.568,482.025
48,0,88,88,88,195.627,505.501
49,0,46,46,46,165.892,629.137
50,0,47,47,47,158.067,665.132
51,0,41,41,41,167.457,677.653
52,0,61,61,61,195.627,735.558
53,0,45,45,45,162.762,710.518
54,0,32,32,32,156.502,776.249
55,0,50,50,50,162.762,812.244
56,0,35,35,35,178.412,805.984
57,0,46,46,46,140.852,852.934
58,0,48,48,48,158.067,882.670
59,0,48,48,48,164.327,903.015
60,0,50,50,50,148.677,917.100
61,0,12,12,12,286.398,832.589
62,0,46,46,46,247.273,865.455
63,0,56,56,56,277.008,910.840
64,0,68,68,68,446.030,940.575
65,0,48,48,48,471.070,1003.176
66,0,58,58,58,558.711,910.840
67,0,66,66,66,577.491,928.055
68,0,56,56,56,679.217,960.921
69,0,49,49,49,679.217,985.961
70,0,14,14,14,832.589,942.140
71,0,48,48,48,633.832,871.715
72,0,70,70,70,600.967,838.849
73,0,63,63,63,535.236,812.244
74,0,80,80,80,527.411,795.029
75,0,50,50,50,502.371,791.899
76,0,39,39,39,503.936,755.903
77,0,55,55,55,527.411,759.033
78,0,72,72,72,577.491,727.733
79,0,48,48,48,621.312,735.558
80,0,47,47,47,436.640,710.518
81,0,51,51,51,408.470,691.738
82,0,87,87,87,436.640,611.922
83,0,39,39,39,384.994,611.922
84,0,47,47,47,359.954,607.227
85,0,65,65,65,323.959,605.662
86,0,102,102,102,319.264,657.307
87,0,56,56,56,278.573,693.303
88,0,26,26,26,291.093,738.688
89,0,51,51,51,402.209,740.253
90,0,50,50,50,380.299,788.769
91,0,52,52,52,505.501,605.662
92,0,46,46,46,500.806,616.617
93,0,61,61,61,480.460,658.872
94,0,46,46,46,536.801,646.352
95,0,54,54,54,532.106,557.146
96,0,11,11,11,505.501,533.671
97,0,77,77,77,486.720,503.936
98,0,67,67,67,508.631,469.505
99,0,54,54,54,546.191,345.869
100,0,63,63,63,594.707,380.299
101,0,43,43,43,611.922,455.420
102,0,57,57,57,585.316,485.155
103,0,49,49,49,604.097,494.545
104,0,66,66,66,597.837,519.586
105,0,62,62,62,665.132,480.460
106,0,59,59,59,737.123,408.469
107,0,53,53,53,729.298,344.304
108,0,48,48,48,721.473,319.264
109,0,20,20,20,707.388,325.524
110,0,47,47,47,801.289,341.174
111,0,50,50,50,784.074,374.039
112,0,56,56,56,766.858,416.295
113,0,64,64,64,752.773,460.115
114,0,100,100,100,740.253,485.155
115,0,64,64,64,823.199,402.209
116,0,63,63,63,863.890,389.689
117,0,94,94,94,857.629,355.259
118,0,99,99,99,890.495,380.299
119,0,86,86,86,915.535,355.259
120,0,73,73,73,951.531,327.089
121,0,46,46,46,968.746,420.990
122,0,69,69,69,968.746,441.335
123,0,57,57,57,1017.261,450.725
124,0,50,50,50,1000.046,478.895
125,0,62,62,62,970.311,508.631
126,0,62,62,62,923.360,455.420
127,0,50,50,50,909.275,424.120
128,0,92,92,92,857.629,435.075
129,0,52,52,52,865.455,508.631
130,0,28,28,28,856.064,536.801
131,0,58,58,58,907.710,524.281
132,0,50,50,50,923.360,547.756
133,0,72,72,72,877.975,574.361
134,0,58,58,58,851.369,583.751
135,0,46,46,46,832.589,615.052
136,0,48,48,48,845.109,644.787
137,0,47,47,47,813.809,616.617
138,0,104,104,104,815.374,662.002
139,0,53,53,53,815.374,693.303
140,0,46,46,46,892.060,740.253
141,0,16,16,16,823.199,780.944
142,0,60,60,60,791.899,760.598
143,0,51,51,51,773.119,727.733
144,0,61,61,61,774.684,707.388
145,0,45,45,45,823.199,802.854
146,0,48,48,48,818.504,831.024
147,0,47,47,47,799.724,857.629
148,0,49,49,49,702.693,749.643
149,0,63,63,63,699.563,680.783
150,0,60,60,60,744.948,651.047
151,0,72,72,72,752.773,577.491
152,0,61,61,61,712.083,588.447
153,0,59,59,59,685.478,610.357
154,0,37,37,37,679.217,624.442
155,0,113,113,113,737.123,538.366
156,0,61,61,61,694.868,522.716
