 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,1332,832
2,0,51,51,51,254,44
3,0,96,96,96,20,98
4,0,59,59,59,52,294
5,0,48,48,48,48,306
6,0,48,48,48,8,294
7,0,1,1,1,222,296
8,0,24,24,24,198,250
9,0,163,163,163,270,300
10,0,43,43,43,268,256
11,0,99,99,99,18,394
12,0,28,28,28,26,392
13,0,33,33,33,44,402
14,0,0,0,0,92,342
15,0,28,28,28,146,362
16,0,117,117,117,178,400
17,0,74,74,74,108,448
18,0,52,52,52,158,452
19,0,64,64,64,172,452
20,0,46,46,46,34,534
21,0,64,64,64,60,558
22,0,52,52,52,22,554
23,0,0,0,0,32,580
24,0,38,38,38,22,602
25,0,55,55,55,42,610
26,0,43,43,43,42,646
27,0,63,63,63,72,664
28,0,94,94,94,118,846
29,0,84,84,84,128,824
30,0,107,107,107,232,916
31,0,122,122,122,254,908
32,0,41,41,41,200,914
33,0,20,20,20,212,832
34,0,45,45,45,314,838
35,0,36,36,36,330,836
36,0,54,54,54,374,820
37,0,0,0,0,400,864
38,0,156,156,156,540,766
39,0,27,27,27,524,814
40,0,82,82,82,428,738
41,0,0,0,0,384,738
42,0,12,12,12,148,780
43,0,91,91,91,228,798
44,0,69,69,69,132,708
45,0,69,69,69,140,676
46,0,109,109,109,122,644
47,0,13,13,13,138,618
48,0,82,82,82,178,630
49,0,52,52,52,182,542
50,0,54,54,54,216,548
51,0,37,37,37,138,576
52,0,53,53,53,114,590
53,0,61,61,61,170,516
54,0,74,74,74,202,510
55,0,55,55,55,238,490
56,0,42,42,42,304,498
57,0,122,122,122,336,494
58,0,18,18,18,354,448
59,0,3,3,3,346,414
60,0,10,10,10,334,400
61,0,127,127,127,282,400
62,0,50,50,50,278,376
63,0,78,78,78,1298,450
64,0,94,94,94,1062,244
65,0,84,84,84,1060,298
66,0,57,57,57,1106,374
67,0,57,57,57,1078,394
68,0,85,85,85,1202,434
69,0,114,114,114,1182,350
70,0,65,65,65,984,422
71,0,152,152,152,994,412
72,0,76,76,76,954,334
73,0,50,50,50,952,312
74,0,52,52,52,892,276
75,0,163,163,163,894,316
76,0,55,55,55,856,320
77,0,74,74,74,768,294
78,0,109,109,109,822,346
79,0,63,63,63,836,394
80,0,60,60,60,770,368
81,0,59,59,59,742,356
82,0,81,81,81,724,352
83,0,86,86,86,714,310
84,0,105,105,105,598,368
85,0,163,163,163,552,354
86,0,184,184,184,750,454
87,0,59,59,59,774,454
88,0,140,140,140,696,460
89,0,48,48,48,696,418
90,0,178,178,178,748,516
91,0,149,149,149,720,506
92,0,97,97,97,854,480
93,0,94,94,94,842,498
94,0,41,41,41,808,506
95,0,163,163,163,988,514
96,0,55,55,55,1174,634
97,0,1,1,1,1038,762
98,0,59,59,59,954,770
99,0,112,112,112,910,732
100,0,99,99,99,878,744
101,0,62,62,62,804,730
102,0,59,59,59,764,758
103,0,86,86,86,722,698
104,0,31,31,31,620,672
105,0,84,84,84,650,590
106,0,32,32,32,694,564
107,0,131,131,131,658,562
108,0,79,79,79,614,504
109,0,77,77,77,580,530
110,0,41,41,41,656,496
111,0,61,61,61,522,498
112,0,98,98,98,486,466
113,0,93,93,93,446,430
114,0,38,38,38,434,522
115,0,163,163,163,412,552
116,0,64,64,64,448,614
117,0,60,60,60,374,652
118,0,17,17,17,412,650
119,0,1,1,1,416,674
120,0,71,71,71,358,682
121,0,34,34,34,270,684
122,0,59,59,59,254,650
123,0,64,64,64,266,600
124,0,64,64,64,288,594
125,0,44,44,44,268,548
126,0,31,31,31,350,548
127,0,27,27,27,406,402
128,0,43,43,43,438,392
129,0,54,54,54,826,668
130,0,124,124,124,810,602
131,0,20,20,20,794,592
132,0,96,96,96,520,346
133,0,33,33,33,670,338
134,0,0,0,0,930,916
135,0,107,107,107,818,950
136,0,50,50,50,92,794
137,0,36,36,36,92,770
138,0,8,8,8,172,968
139,0,66,66,66,408,1002
140,0,101,101,101,470,696
141,0,71,71,71,470,680
142,0,36,36,36,566,650
143,0,42,42,42,384,618
144,0,42,42,42,364,592
145,0,20,20,20,346,634
146,0,79,79,79,588,560
147,0,67,67,67,710,298
148,0,61,61,61,406,300
149,0,68,68,68,896,150
150,0,69,69,69,922,550
151,0,75,75,75,876,606
152,0,15,15,15,840,532
153,0,130,130,130,744,540
154,0,3,3,3,720,630
155,0,63,63,63,482,590
156,0,55,55,55,640,350
157,0,7,7,7,698,862
158,0,0,0,0,1182,774
159,0,10,10,10,1112,668
160,0,77,77,77,1074,592
161,0,38,38,38,314,356
162,0,77,77,77,168,334
163,0,6,6,6,892,470
164,0,51,51,51,954,488
165,0,60,60,60,566,594
166,0,46,46,46,678,660
167,0,54,54,54,1262,552
168,0,55,55,55,486,444
169,0,34,34,34,418,492
170,0,31,31,31,302,722
171,0,59,59,59,30,722
172,0,0,0,0,18,874
173,0,20,20,20,608,892
174,0,67,67,67,492,530
175,0,55,55,55,664,754
