 ,Area,Mean,Min,Max,X,Y
1,0,20,20,20,613.487,156.502
2,0,52,52,52,632.267,208.147
3,0,75,75,75,685.478,251.968
4,0,50,50,50,596.272,277.008
5,0,42,42,42,627.572,261.358
6,0,101,101,101,533.671,336.479
7,0,99,99,99,511.761,339.609
8,0,40,40,40,507.066,352.129
9,0,63,63,63,480.460,413.165
10,0,51,51,51,410.034,406.904
11,0,102,102,102,388.124,363.084
12,0,68,68,68,222.232,353.694
13,0,54,54,54,286.398,410.035
14,0,55,55,55,316.133,482.025
15,0,28,28,28,272.313,510.196
16,0,63,63,63,255.098,508.631
17,0,66,66,66,90.771,505.501
18,0,59,59,59,107.986,536.801
19,0,18,18,18,100.161,615.052
20,0,25,25,25,75.121,624.442
21,0,60,60,60,46.951,646.352
22,0,36,36,36,35.995,654.177
23,0,50,50,50,100.161,705.823
24,0,58,58,58,79.816,701.128
25,0,40,40,40,100.161,687.043
26,0,87,87,87,139.287,713.648
27,0,52,52,52,200.322,688.608
28,0,55,55,55,167.457,619.747
29,0,55,55,55,195.627,654.177
30,0,56,56,56,284.833,604.097
31,0,87,87,87,311.438,615.052
32,0,11,11,11,355.259,630.702
33,0,83,83,83,333.349,575.926
34,0,41,41,41,364.649,568.101
35,0,62,62,62,322.394,535.236
36,0,46,46,46,369.344,489.850
37,0,79,79,79,399.079,486.720
38,0,97,97,97,452.290,477.330
39,0,53,53,53,472.635,491.415
40,0,157,157,157,492.980,494.545
41,0,42,42,42,511.761,505.501
42,0,109,109,109,519.586,447.595
43,0,68,68,68,536.801,422.555
44,0,27,27,27,513.326,391.254
45,0,65,65,65,569.666,380.299
46,0,54,54,54,593.142,386.559
47,0,82,82,82,621.312,391.254
48,0,62,62,62,652.612,395.949
49,0,68,68,68,697.998,339.609
50,0,71,71,71,663.567,341.174
51,0,79,79,79,632.267,323.959
52,0,56,56,56,702.693,300.483
53,0,98,98,98,802.854,245.708
54,0,51,51,51,785.639,287.963
55,0,33,33,33,821.634,270.748
56,0,72,72,72,867.020,280.138
