 ,Area,Mean,Min,Max,X,Y
1,0,62,62,62,114.246,682.348
2,0,73,73,73,126.766,647.917
3,0,43,43,43,79.816,638.527
4,0,54,54,54,98.596,636.962
5,0,4,4,4,167.457,793.464
6,0,5,5,5,153.372,831.024
7,0,62,62,62,122.071,799.724
8,0,82,82,82,212.842,782.509
9,0,68,68,68,328.654,738.688
10,0,39,39,39,300.483,677.652
11,0,106,106,106,281.703,674.522
12,0,68,68,68,230.058,669.827
13,0,75,75,75,374.039,1000.046
14,0,48,48,48,291.093,957.791
15,0,50,50,50,275.443,931.185
16,0,65,65,65,403.774,831.024
17,0,81,81,81,352.129,824.764
18,0,65,65,65,348.999,857.629
19,0,25,25,25,403.774,780.944
20,0,65,65,65,466.375,785.639
21,0,47,47,47,522.716,798.159
22,0,66,66,66,536.801,838.849
23,0,118,118,118,572.796,829.459
24,0,84,84,84,561.841,799.724
25,0,55,55,55,541.496,921.795
26,0,48,48,48,582.186,979.701
27,0,30,30,30,666.697,1009.436
28,0,78,78,78,837.284,1014.131
29,0,4,4,4,892.060,996.916
30,0,81,81,81,863.890,967.181
31,0,51,51,51,787.204,951.531
32,0,47,47,47,724.603,971.876
33,0,71,71,71,727.733,888.930
34,0,76,76,76,647.917,885.800
35,0,27,27,27,862.324,901.450
36,0,51,51,51,1029.781,829.459
37,0,59,59,59,1162.808,773.119
38,0,25,25,25,1303.659,372.474
39,0,62,62,62,503.936,32.865
40,0,46,46,46,386.559,101.726
41,0,59,59,59,369.344,139.287
42,0,69,69,69,344.304,192.497
43,0,72,72,72,458.550,139.287
44,0,87,87,87,471.070,139.287
45,0,74,74,74,505.501,106.421
46,0,56,56,56,560.276,154.937
47,0,49,49,49,533.671,165.892
48,0,56,56,56,696.433,261.358
49,0,93,93,93,723.038,187.802
50,0,79,79,79,754.338,156.502
51,0,60,60,60,691.738,169.022
52,0,69,69,69,644.787,244.143
53,0,104,104,104,658.872,231.623
54,0,46,46,46,665.132,308.308
55,0,105,105,105,665.132,280.138
56,0,64,64,64,710.518,291.093
57,0,55,55,55,748.078,295.788
58,0,115,115,115,884.235,295.788
59,0,49,49,49,918.665,317.699
60,0,73,73,73,967.181,266.053
61,0,162,162,162,971.876,302.048
62,0,10,10,10,976.571,342.739
63,0,30,30,30,989.091,342.739
64,0,105,105,105,895.190,331.784
65,0,105,105,105,857.629,353.694
66,0,101,101,101,834.154,336.479
67,0,63,63,63,791.899,302.048
68,0,83,83,83,823.199,331.784
69,0,48,48,48,769.988,364.649
70,0,106,106,106,719.908,358.389
71,0,102,102,102,683.913,341.174
72,0,38,38,38,649.482,333.349
73,0,107,107,107,624.442,366.214
74,0,15,15,15,618.182,334.914
75,0,89,89,89,560.276,339.609
76,0,84,84,84,596.272,361.519
77,0,56,56,56,557.146,303.613
78,0,60,60,60,466.375,353.694
79,0,102,102,102,463.245,363.084
80,0,106,106,106,449.160,392.819
81,0,104,104,104,420.990,378.734
82,0,96,96,96,425.685,395.949
83,0,12,12,12,375.604,430.380
84,0,58,58,58,366.214,388.124
85,0,84,84,84,350.564,375.604
86,0,66,66,66,384.994,331.784
87,0,48,48,48,378.734,356.824
88,0,105,105,105,322.394,410.035
89,0,59,59,59,302.048,427.250
90,0,16,16,16,264.488,408.470
91,0,78,78,78,142.417,600.967
92,0,100,100,100,943.705,428.815
93,0,54,54,54,982.831,467.940
94,0,62,62,62,976.571,488.285
95,0,96,96,96,937.445,466.375
96,0,104,104,104,924.925,491.415
97,0,73,73,73,910.840,532.106
98,0,99,99,99,867.020,528.976
99,0,75,75,75,960.921,552.451
100,0,102,102,102,956.226,582.186
101,0,103,103,103,1001.611,582.186
102,0,45,45,45,959.356,640.092
103,0,49,49,49,985.961,699.563
104,0,65,65,65,943.705,795.029
105,0,104,104,104,899.885,757.468
106,0,81,81,81,892.060,784.074
107,0,96,96,96,870.150,740.253
108,0,78,78,78,867.020,693.303
109,0,153,153,153,818.504,730.863
110,0,45,45,45,782.509,735.558
111,0,47,47,47,796.594,765.293
112,0,68,68,68,755.903,776.249
113,0,70,70,70,740.253,771.554
114,0,123,123,123,746.513,738.688
115,0,87,87,87,718.343,705.823
116,0,130,130,130,735.558,685.478
117,0,100,100,100,809.114,626.007
118,0,153,153,153,793.464,626.007
119,0,80,80,80,762.163,599.402
120,0,67,67,67,816.939,651.047
121,0,50,50,50,856.064,629.137
122,0,14,14,14,816.939,607.227
123,0,85,85,85,812.244,513.326
124,0,63,63,63,815.374,480.460
125,0,55,55,55,785.639,455.420
126,0,85,85,85,810.679,425.685
127,0,71,71,71,826.329,433.510
128,0,49,49,49,743.383,391.254
129,0,13,13,13,705.823,370.909
130,0,178,178,178,690.173,408.470
131,0,57,57,57,729.298,455.420
132,0,59,59,59,760.598,458.550
133,0,85,85,85,763.728,494.545
134,0,55,55,55,480.460,348.999
135,0,114,114,114,582.186,420.990
136,0,112,112,112,596.272,413.165
137,0,66,66,66,608.792,527.411
138,0,104,104,104,641.657,544.626
139,0,108,108,108,712.083,521.151
140,0,147,147,147,743.383,525.846
141,0,58,58,58,799.724,547.756
142,0,104,104,104,832.589,552.451
143,0,49,49,49,702.693,611.922
144,0,78,78,78,657.307,611.922
145,0,66,66,66,627.572,585.316
146,0,106,106,106,591.577,585.316
