 	Area	Mean	Min	Max	X	Y
1	0	69	69	69	201.887	895.190
2	0	86	86	86	225.362	859.194
3	0	69	69	69	281.703	877.975
4	0	140	140	140	327.089	834.154
5	0	90	90	90	325.524	824.764
6	0	65	65	65	280.138	791.899
7	0	67	67	67	256.663	748.078
8	0	90	90	90	198.757	793.464
9	0	29	29	29	173.717	773.119
10	0	89	89	89	372.474	605.662
11	0	92	92	92	436.640	605.662
12	0	146	146	146	453.855	597.837
13	0	52	52	52	417.860	539.931
14	0	118	118	118	395.949	492.980
15	0	110	110	110	444.465	414.730
16	0	118	118	118	406.904	436.640
17	0	81	81	81	518.021	311.438
18	0	93	93	93	560.276	342.739
19	0	163	163	163	577.491	374.039
20	0	119	119	119	594.707	344.304
21	0	86	86	86	591.577	378.734
22	0	139	139	139	677.652	320.829
23	0	87	87	87	685.478	478.895
24	0	82	82	82	694.868	518.021
25	0	125	125	125	776.249	543.061
26	0	136	136	136	737.123	582.186
27	0	120	120	120	793.464	622.877
28	0	68	68	68	1026.651	569.666
29	0	129	129	129	1043.866	572.796
30	0	17	17	17	1087.687	536.801
31	0	34	34	34	1109.597	577.491
32	0	67	67	67	1136.203	436.640
33	0	105	105	105	701.128	644.787
34	0	146	146	146	583.751	749.643
35	0	74	74	74	554.016	710.518
36	0	93	93	93	602.532	618.182
37	0	71	71	71	575.926	597.837
38	0	78	78	78	564.971	519.586
39	0	144	144	144	521.151	533.671
40	0	122	122	122	477.330	544.626
41	0	118	118	118	494.545	416.295
42	0	95	95	95	505.501	433.510
43	0	87	87	87	554.016	438.205
44	0	75	75	75	485.155	278.573
45	0	122	122	122	557.146	248.838
46	0	62	62	62	651.047	305.178
47	0	97	97	97	744.948	438.205
48	0	95	95	95	723.038	799.724
49	0	64	64	64	727.733	773.119
50	0	73	73	73	679.218	718.343
51	0	93	93	93	688.608	832.589
52	0	86	86	86	621.312	824.764
53	0	101	101	101	593.142	862.324
54	0	83	83	83	489.850	823.199
55	0	166	166	166	460.115	790.334
56	0	76	76	76	502.371	776.249
57	0	64	64	64	447.595	690.173
58	0	76	76	76	439.770	660.437
59	0	69	69	69	388.124	657.307
60	0	90	90	90	355.259	715.213
61	0	72	72	72	358.389	563.406
