 	Area	Mean	Min	Max	X	Y
1	0	142	142	142	380.215	529.585
2	0	67	67	67	511.828	602.704
3	0	165	165	165	563.011	613.149
4	0	88	88	88	629.862	591.214
5	0	136	136	136	669.555	636.129
6	0	76	76	76	684.178	616.283
7	0	68	68	68	669.555	508.694
8	0	84	84	84	678.955	507.650
9	0	146	146	146	669.555	477.358
10	0	78	78	78	654.931	480.492
11	0	109	109	109	716.559	495.115
12	0	136	136	136	708.203	457.512
13	0	75	75	75	670.599	435.576
14	0	140	140	140	652.842	418.863
15	0	98	98	98	847.128	752.074
16	0	67	67	67	863.840	733.272
17	0	84	84	84	902.489	737.450
18	0	67	67	67	1041.413	720.737
19	0	64	64	64	1066.482	718.648
20	0	121	121	121	1101.997	729.094
21	0	16	16	16	1096.774	744.762
22	0	97	97	97	1099.908	765.653
23	0	91	91	91	1110.353	764.608
24	0	71	71	71	1113.487	782.366
25	0	99	99	99	1138.556	772.965
26	0	101	101	101	1064.393	785.499
27	0	64	64	64	1070.661	857.573
28	0	74	74	74	1142.734	819.969
29	0	66	66	66	1034.101	893.088
30	0	104	104	104	980.829	883.687
31	0	28	28	28	1161.536	649.708
32	0	91	91	91	1147.957	611.060
33	0	59	59	59	1114.531	630.906
34	0	44	44	44	1124.977	499.293
35	0	135	135	135	1173.026	459.601
36	0	62	62	62	1226.298	416.774
37	0	67	67	67	1207.496	406.329
38	0	83	83	83	1237.788	389.616
39	0	69	69	69	1203.318	344.700
40	0	72	72	72	1234.654	285.161
41	0	86	86	86	1305.684	412.596
42	0	70	70	70	1303.594	429.309
43	0	72	72	72	1173.026	383.349
44	0	67	67	67	1317.174	106.544
45	0	59	59	59	1319.263	34.470
46	0	65	65	65	888.909	35.515
47	0	61	61	61	752.074	62.673
48	0	76	76	76	605.837	16.713
49	0	65	65	65	962.028	395.883
50	0	63	63	63	926.513	407.373
51	0	46	46	46	926.513	433.487
52	0	83	83	83	922.335	511.828
53	0	79	79	79	819.969	459.601
54	0	141	141	141	854.439	464.823
55	0	38	38	38	835.637	477.358
56	0	77	77	77	805.346	533.763
57	0	67	67	67	768.786	482.581
58	0	87	87	87	759.386	506.605
59	0	67	67	67	735.361	514.962
60	0	155	155	155	527.496	489.892
61	0	146	146	146	473.180	310.230
62	0	39	39	39	801.167	388.571
63	0	136	136	136	862.796	506.605
64	0	79	79	79	845.038	503.472
65	0	64	64	64	973.518	625.684
66	0	82	82	82	1042.458	537.942
67	0	71	71	71	1000.676	321.720
68	0	85	85	85	1051.859	344.700
