 	Area	Mean	Min	Max	X	Y
1	0	138	138	138	344.700	999.631
2	0	74	74	74	373.948	955.760
3	0	117	117	117	410.507	968.295
4	0	116	116	116	426.175	1012.166
5	0	106	106	106	460.645	1007.988
6	0	140	140	140	557.788	974.562
7	0	76	76	76	530.630	971.429
8	0	78	78	78	517.051	950.538
9	0	139	139	139	503.472	918.157
10	0	150	150	150	505.561	889.954
11	0	165	165	165	448.111	938.003
12	0	75	75	75	465.868	948.449
13	0	102	102	102	433.487	848.172
14	0	115	115	115	512.872	834.593
15	0	89	89	89	565.100	878.464
16	0	88	88	88	583.902	859.662
17	0	156	156	156	594.347	839.816
18	0	125	125	125	582.857	809.524
19	0	100	100	100	600.614	792.811
20	0	90	90	90	625.684	818.925
21	0	85	85	85	627.773	843.994
22	0	108	108	108	650.753	826.237
23	0	154	154	154	675.822	810.568
24	0	91	91	91	650.753	858.617
25	0	158	158	158	646.574	919.201
26	0	155	155	155	560.922	910.845
27	0	168	168	168	760.430	898.310
28	0	113	113	113	712.381	902.488
29	0	123	123	123	724.916	847.128
30	0	105	105	105	775.054	848.172
31	0	91	91	91	838.771	932.780
32	0	127	127	127	855.484	939.048
33	0	116	116	116	879.508	896.221
34	0	81	81	81	862.796	915.023
35	0	100	100	100	904.578	900.399
36	0	105	105	105	928.602	884.731
37	0	120	120	120	973.518	897.266
38	0	86	86	86	949.493	871.152
39	0	112	112	112	991.275	882.642
40	0	138	138	138	1024.700	853.395
41	0	155	155	155	999.631	807.435
42	0	114	114	114	1003.810	789.677
43	0	95	95	95	950.538	793.856
44	0	169	169	169	865.929	851.306
45	0	89	89	89	850.261	836.682
46	0	154	154	154	888.909	778.187
47	0	159	159	159	812.657	792.811
48	0	136	136	136	825.192	760.430
49	0	167	167	167	850.261	722.826
50	0	73	73	73	782.366	733.272
51	0	123	123	123	842.949	963.072
52	0	126	126	126	1075.883	960.983
53	0	64	64	64	1034.101	930.691
54	0	118	118	118	970.384	948.449
55	0	98	98	98	218.310	27.158
56	0	124	124	124	410.507	13.579
57	0	31	31	31	384.393	39.693
58	0	89	89	89	334.255	75.207
59	0	93	93	93	240.246	294.562
60	0	90	90	90	276.805	245.469
61	0	158	158	158	252.780	243.379
62	0	126	126	126	158.771	355.146
63	0	117	117	117	170.261	368.725
64	0	97	97	97	221.444	339.478
65	0	113	113	113	235.023	364.547
66	0	75	75	75	280.983	410.507
67	0	158	158	158	431.398	242.335
68	0	152	152	152	414.685	277.849
69	0	127	127	127	431.398	344.700
70	0	59	59	59	447.066	357.235
71	0	156	156	156	487.803	333.210
72	0	86	86	86	457.512	293.518
73	0	123	123	123	517.051	272.627
74	0	164	164	164	524.363	235.023
75	0	123	123	123	541.075	231.889
76	0	101	101	101	610.015	206.820
77	0	153	153	153	615.238	165.038
78	0	106	106	106	589.124	135.791
79	0	104	104	104	626.728	54.316
80	0	111	111	111	674.777	9.401
81	0	75	75	75	712.381	96.098
82	0	123	123	123	740.584	87.742
83	0	93	93	93	752.074	110.722
84	0	125	125	125	795.945	84.608
85	0	77	77	77	923.379	89.831
86	0	149	149	149	929.647	176.528
87	0	119	119	119	906.667	175.484
88	0	158	158	158	1084.240	230.845
89	0	140	140	140	1112.442	222.488
90	0	118	118	118	1122.888	356.190
91	0	131	131	131	1132.289	321.720
92	0	130	130	130	1170.937	454.378
93	0	94	94	94	1097.819	483.625
94	0	50	50	50	1179.293	568.234
95	0	83	83	83	1257.634	648.664
96	0	86	86	86	1348.510	615.238
97	0	149	149	149	1344.332	572.412
98	0	120	120	120	1353.733	646.575
99	0	132	132	132	1287.926	795.945
100	0	95	95	95	1253.456	752.074
101	0	107	107	107	1241.966	751.029
102	0	124	124	124	1223.164	804.301
103	0	72	72	72	1239.877	827.281
104	0	83	83	83	1221.075	850.261
105	0	100	100	100	1152.135	893.088
106	0	109	109	109	1114.531	928.602
107	0	76	76	76	1064.393	780.276
108	0	106	106	106	1085.284	764.608
109	0	131	131	131	1076.928	754.163
110	0	91	91	91	1117.665	745.806
111	0	121	121	121	1131.244	765.653
112	0	77	77	77	1164.670	738.495
113	0	95	95	95	1187.650	688.356
114	0	113	113	113	1154.224	680.000
115	0	158	158	158	1062.304	691.490
116	0	113	113	113	1047.680	675.822
117	0	127	127	127	1037.235	732.227
118	0	154	154	154	1026.790	747.896
119	0	73	73	73	928.602	742.673
120	0	74	74	74	986.052	678.955
121	0	148	148	148	1014.255	641.352
122	0	141	141	141	978.740	596.436
123	0	127	127	127	993.364	564.055
124	0	77	77	77	1026.790	503.472
125	0	84	84	84	1088.418	569.278
126	0	117	117	117	1117.665	581.813
127	0	81	81	81	1131.244	608.971
128	0	137	137	137	887.865	719.693
129	0	75	75	75	859.662	756.252
130	0	159	159	159	756.252	676.866
131	0	86	86	86	792.811	680.000
132	0	110	110	110	871.152	681.045
133	0	137	137	137	897.266	658.065
134	0	160	160	160	879.508	635.085
135	0	107	107	107	845.038	614.194
136	0	81	81	81	841.905	641.352
137	0	156	156	156	821.014	646.575
138	0	121	121	121	795.945	654.931
139	0	153	153	153	922.335	613.149
140	0	138	138	138	902.488	593.303
141	0	87	87	87	926.513	548.387
142	0	161	161	161	919.201	532.719
143	0	151	151	151	970.384	558.833
144	0	158	158	158	949.493	558.833
145	0	158	158	158	960.983	514.962
146	0	177	177	177	943.226	479.447
147	0	123	123	123	905.622	464.823
148	0	80	80	80	913.979	462.734
149	0	79	79	79	898.310	421.997
150	0	117	117	117	889.954	437.665
151	0	77	77	77	977.696	411.551
152	0	110	110	110	952.627	312.319
153	0	114	114	114	936.958	284.117
154	0	131	131	131	864.885	258.003
155	0	79	79	79	877.419	331.121
156	0	118	118	118	882.642	366.636
157	0	113	113	113	810.568	327.988
158	0	141	141	141	772.965	319.631
159	0	112	112	112	762.519	306.052
160	0	73	73	73	754.163	334.255
161	0	169	169	169	706.114	278.894
162	0	71	71	71	746.851	258.003
163	0	91	91	91	722.826	218.310
164	0	85	85	85	749.985	212.043
165	0	116	116	116	802.212	208.909
166	0	73	73	73	819.969	199.508
167	0	114	114	114	814.747	232.934
168	0	94	94	94	745.806	160.860
169	0	126	126	126	685.223	190.108
170	0	130	130	130	604.793	243.379
171	0	147	147	147	667.465	288.295
172	0	83	83	83	646.574	292.473
173	0	159	159	159	629.862	319.631
174	0	128	128	128	670.599	312.319
175	0	58	58	58	682.089	333.210
176	0	131	131	131	658.065	352.012
177	0	170	170	170	659.109	377.081
178	0	161	161	161	681.045	384.393
179	0	82	82	82	686.267	411.551
180	0	115	115	115	634.040	414.685
181	0	158	158	158	567.189	393.794
182	0	160	160	160	598.525	371.859
183	0	102	102	102	526.452	357.235
184	0	126	126	126	525.407	313.364
185	0	75	75	75	545.253	289.339
186	0	71	71	71	498.249	402.151
187	0	159	159	159	536.897	456.467
188	0	159	159	159	512.872	464.823
189	0	77	77	77	386.482	598.525
190	0	113	113	113	403.195	655.975
191	0	152	152	152	397.972	686.267
192	0	133	133	133	480.492	744.762
193	0	110	110	110	516.006	759.386
194	0	122	122	122	531.674	784.455
195	0	135	135	135	574.501	709.247
196	0	108	108	108	662.243	680.000
197	0	157	157	157	660.154	725.960
198	0	99	99	99	716.559	749.985
199	0	84	84	84	756.252	946.359
200	0	126	126	126	1170.937	322.765
201	0	66	66	66	1185.561	503.472
202	0	96	96	96	1224.209	555.699
203	0	129	129	129	1280.614	575.545
204	0	75	75	75	874.286	565.100
205	0	90	90	90	849.217	577.634
206	0	158	158	158	832.504	547.343
207	0	171	171	171	815.791	531.674
208	0	156	156	156	774.009	504.516
209	0	116	116	116	770.876	479.447
210	0	133	133	133	753.118	482.581
211	0	138	138	138	741.628	426.175
212	0	158	158	158	788.633	430.353
213	0	157	157	157	833.548	412.596
214	0	136	136	136	818.925	486.759
215	0	165	165	165	874.286	512.872
216	0	156	156	156	853.395	536.897
217	0	111	111	111	834.593	513.917
218	0	167	167	167	772.965	576.590
219	0	170	170	170	808.479	554.654
220	0	98	98	98	792.811	591.214
221	0	182	182	182	699.846	614.194
222	0	125	125	125	719.693	630.906
223	0	146	146	146	649.708	615.238
224	0	75	75	75	608.971	607.926
225	0	158	158	158	550.476	639.263
226	0	115	115	115	532.719	616.283
227	0	144	144	144	702.980	584.946
228	0	81	81	81	706.114	552.565
229	0	167	167	167	714.470	516.006
230	0	96	96	96	737.450	499.293
231	0	157	157	157	706.114	449.155
232	0	134	134	134	686.267	484.670
233	0	93	93	93	819.969	376.037
234	0	76	76	76	295.607	902.489
235	0	89	89	89	288.295	934.869
236	0	92	92	92	396.928	630.906
237	0	117	117	117	644.485	162.949
238	0	158	158	158	625.684	141.014
239	0	81	81	81	902.488	683.134
