 ,Area,Mean,Min,Max,X,Y
1,0,115,115,115,1345.915,762.163
2,0,75,75,75,1352.175,712.083
3,0,39,39,39,1324.005,665.132
4,0,87,87,87,1314.615,636.962
5,0,71,71,71,1333.395,480.460
6,0,63,63,63,1342.785,438.205
7,0,50,50,50,1320.875,441.335
8,0,79,79,79,1331.830,442.900
9,0,80,80,80,1297.399,405.339
10,0,70,70,70,1322.439,359.954
11,0,63,63,63,1314.615,314.568
12,0,68,68,68,1277.054,309.873
13,0,68,68,68,1150.288,131.461
14,0,63,63,63,1075.167,86.076
15,0,52,52,52,1009.436,78.251
16,0,58,58,58,165.892,14.085
17,0,0,0,0,122.071,62.601
18,0,59,59,59,104.856,109.551
19,0,86,86,86,15.650,142.417
20,0,55,55,55,120.506,231.623
21,0,71,71,71,21.910,330.219
22,0,138,138,138,6.260,339.609
23,0,76,76,76,93.901,348.999
24,0,163,163,163,75.121,425.685
25,0,163,163,163,112.681,433.510
26,0,61,61,61,95.466,410.035
27,0,118,118,118,175.282,217.537
28,0,47,47,47,184.672,237.883
29,0,45,45,45,222.232,198.757
30,0,57,57,57,241.013,190.932
31,0,9,9,9,281.703,170.587
32,0,136,136,136,375.604,234.753
33,0,60,60,60,435.075,190.932
34,0,76,76,76,500.806,148.677
35,0,80,80,80,226.928,259.793
36,0,23,23,23,297.353,245.708
37,0,52,52,52,269.183,363.084
38,0,65,65,65,308.308,347.434
39,0,58,58,58,608.792,281.703
40,0,69,69,69,527.411,275.443
41,0,35,35,35,499.241,297.353
42,0,63,63,63,469.505,355.259
43,0,84,84,84,367.779,413.165
44,0,134,134,134,251.968,497.675
45,0,91,91,91,147.112,466.375
46,0,54,54,54,128.331,466.375
47,0,58,58,58,148.677,510.196
48,0,59,59,59,179.977,544.626
49,0,80,80,80,230.058,561.841
50,0,54,54,54,245.708,555.581
51,0,61,61,61,236.318,583.751
52,0,58,58,58,200.322,591.577
53,0,38,38,38,375.604,450.725
54,0,54,54,54,427.250,438.205
55,0,92,92,92,449.160,444.465
56,0,49,49,49,464.810,472.635
57,0,93,93,93,392.819,524.281
58,0,50,50,50,347.434,525.846
59,0,73,73,73,292.658,577.491
60,0,163,163,163,425.685,580.621
61,0,1,1,1,403.774,579.056
62,0,57,57,57,361.519,640.092
63,0,76,76,76,275.443,676.087
64,0,1,1,1,259.793,666.697
65,0,52,52,52,233.188,687.043
66,0,63,63,63,200.322,693.303
67,0,33,33,33,195.627,730.863
68,0,67,67,67,633.832,494.545
69,0,79,79,79,687.043,447.595
70,0,78,78,78,716.778,334.914
71,0,109,109,109,713.648,211.277
72,0,18,18,18,780.944,201.887
73,0,66,66,66,777.814,248.838
74,0,54,54,54,1007.871,302.048
75,0,24,24,24,1017.261,264.488
76,0,53,53,53,1020.391,209.712
77,0,60,60,60,1109.597,408.469
78,0,55,55,55,1098.642,427.250
79,0,50,50,50,1216.018,460.115
80,0,71,71,71,1253.579,444.465
81,0,68,68,68,1255.144,420.990
82,0,57,57,57,1230.104,406.904
83,0,63,63,63,1264.534,477.330
84,0,70,70,70,1252.014,492.980
85,0,58,58,58,1280.184,605.662
86,0,79,79,79,1206.628,555.581
87,0,69,69,69,1216.018,527.411
88,0,149,149,149,1190.978,469.505
89,0,58,58,58,1184.718,492.980
90,0,4,4,4,1217.583,633.832
91,0,108,108,108,1228.538,676.087
92,0,49,49,49,1288.009,687.043
93,0,58,58,58,1184.718,776.249
94,0,79,79,79,1147.158,810.679
95,0,50,50,50,1123.682,802.854
96,0,31,31,31,1112.727,760.598
97,0,50,50,50,1139.333,749.643
98,0,65,65,65,1140.898,724.603
99,0,57,57,57,1151.853,683.913
100,0,100,100,100,1104.902,646.352
101,0,50,50,50,1101.772,486.720
102,0,50,50,50,1067.342,359.954
103,0,85,85,85,826.329,369.344
104,0,34,34,34,837.284,456.985
105,0,54,54,54,951.531,466.375
106,0,52,52,52,964.051,456.985
107,0,8,8,8,945.270,400.644
108,0,52,52,52,863.890,507.066
109,0,43,43,43,895.190,508.631
110,0,136,136,136,871.715,525.846
111,0,141,141,141,881.105,552.451
112,0,0,0,0,826.329,560.276
113,0,48,48,48,816.939,532.106
114,0,71,71,71,995.351,554.016
115,0,101,101,101,940.575,566.536
116,0,11,11,11,921.795,585.316
117,0,95,95,95,949.965,590.011
118,0,4,4,4,992.221,591.577
119,0,77,77,77,1037.606,602.532
120,0,43,43,43,984.396,627.572
121,0,95,95,95,985.961,660.437
122,0,52,52,52,957.791,660.437
123,0,54,54,54,1065.777,699.563
124,0,64,64,64,1025.086,699.563
125,0,49,49,49,1092.382,702.693
126,0,51,51,51,1079.862,735.558
127,0,50,50,50,1029.781,730.863
128,0,136,136,136,965.616,766.858
129,0,64,64,64,960.921,790.334
130,0,141,141,141,939.010,784.074
131,0,58,58,58,926.490,724.603
132,0,0,0,0,884.235,744.948
133,0,96,96,96,888.930,809.114
134,0,44,44,44,871.715,802.854
135,0,146,146,146,849.804,793.464
136,0,68,68,68,835.719,859.194
137,0,78,78,78,799.724,805.984
138,0,49,49,49,777.814,804.419
139,0,59,59,59,744.948,801.289
140,0,68,68,68,754.338,752.773
141,0,163,163,163,762.163,710.518
142,0,27,27,27,831.024,693.303
143,0,53,53,53,809.114,677.652
144,0,88,88,88,868.585,633.832
145,0,81,81,81,901.450,640.092
146,0,62,62,62,773.119,596.272
147,0,82,82,82,744.948,563.406
148,0,9,9,9,793.464,566.536
149,0,51,51,51,687.043,572.796
150,0,71,71,71,665.132,591.577
151,0,60,60,60,604.097,575.926
152,0,64,64,64,580.621,550.886
153,0,163,163,163,585.316,574.361
154,0,45,45,45,539.931,586.881
155,0,52,52,52,528.976,588.446
156,0,99,99,99,467.940,574.361
157,0,63,63,63,491.415,593.142
158,0,44,44,44,466.375,538.366
159,0,64,64,64,475.765,605.662
160,0,50,50,50,503.936,643.222
161,0,52,52,52,582.186,641.657
162,0,78,78,78,546.191,627.572
163,0,3,3,3,594.707,627.572
164,0,21,21,21,572.796,615.052
165,0,163,163,163,574.361,680.782
166,0,53,53,53,569.666,705.823
167,0,68,68,68,463.245,682.348
168,0,80,80,80,474.200,740.253
169,0,54,54,54,505.501,784.074
170,0,42,42,42,488.285,782.509
171,0,42,42,42,541.496,787.204
172,0,116,116,116,579.056,816.939
173,0,25,25,25,591.577,841.979
174,0,52,52,52,668.262,860.759
175,0,74,74,74,456.985,823.199
176,0,118,118,118,386.559,815.374
177,0,54,54,54,410.035,848.239
178,0,24,24,24,258.228,782.509
179,0,44,44,44,300.483,746.513
180,0,4,4,4,428.815,718.343
181,0,52,52,52,381.864,718.343
182,0,53,53,53,394.384,746.513
183,0,41,41,41,424.120,777.814
184,0,52,52,52,297.353,455.420
185,0,9,9,9,269.183,472.635
186,0,63,63,63,449.160,879.540
187,0,74,74,74,331.784,805.984
188,0,55,55,55,865.455,903.015
189,0,146,146,146,608.792,391.254
190,0,3,3,3,575.926,489.850
