 	Area	Mean	Min	Max	X	Y
1	0	70	70	70	30.667	248.000
2	0	165	165	165	54.667	305.333
3	0	22	22	22	280.000	190.667
4	0	63	63	63	348.000	232.000
5	0	64	64	64	184.000	274.667
6	0	93	93	93	162.667	317.333
7	0	56	56	56	97.333	341.333
8	0	42	42	42	30.667	396.000
9	0	144	144	144	180.000	365.333
10	0	160	160	160	210.667	388.000
11	0	91	91	91	248.000	396.000
12	0	57	57	57	270.667	384.000
13	0	73	73	73	217.333	482.667
14	0	160	160	160	162.667	478.667
15	0	72	72	72	165.333	504.000
16	0	67	67	67	112.000	480.000
17	0	67	67	67	98.667	502.667
18	0	33	33	33	25.333	593.333
19	0	80	80	80	49.333	654.667
20	0	31	31	31	36.000	689.333
21	0	34	34	34	62.667	737.333
22	0	58	58	58	116.000	722.667
23	0	76	76	76	144.000	705.333
24	0	66	66	66	116.000	650.667
25	0	46	46	46	157.333	626.667
26	0	92	92	92	214.667	561.333
27	0	32	32	32	233.333	538.667
28	0	31	31	31	269.333	528.000
29	0	88	88	88	308.000	516.000
30	0	107	107	107	137.333	773.333
31	0	76	76	76	90.667	826.667
32	0	125	125	125	129.333	868.000
33	0	160	160	160	117.333	878.667
34	0	61	61	61	68.000	950.667
35	0	93	93	93	145.333	928.000
36	0	59	59	59	177.333	945.333
37	0	79	79	79	156.000	962.667
38	0	72	72	72	140.000	1018.667
39	0	160	160	160	157.333	1013.333
40	0	63	63	63	193.333	1004.000
41	0	85	85	85	210.667	1013.333
42	0	85	85	85	232.000	1009.333
43	0	115	115	115	248.000	974.667
44	0	93	93	93	261.333	994.667
45	0	48	48	48	290.667	986.667
46	0	109	109	109	318.667	974.667
47	0	102	102	102	348.000	958.667
48	0	10	10	10	390.667	1012.000
49	0	55	55	55	425.333	977.333
50	0	25	25	25	418.667	956.000
51	0	38	38	38	470.667	974.667
52	0	28	28	28	532.000	1012.000
53	0	172	172	172	838.667	994.667
54	0	139	139	139	881.333	1005.333
55	0	110	110	110	826.667	970.667
56	0	117	117	117	800.000	988.000
57	0	107	107	107	814.667	932.000
58	0	115	115	115	892.000	953.333
59	0	133	133	133	888.000	921.333
60	0	102	102	102	885.333	894.667
61	0	82	82	82	702.667	910.667
62	0	112	112	112	752.000	946.667
63	0	87	87	87	712.000	945.333
64	0	220	220	220	706.667	880.000
65	0	144	144	144	694.667	864.000
66	0	105	105	105	710.667	845.333
67	0	157	157	157	634.667	944.000
68	0	135	135	135	596.000	906.667
69	0	85	85	85	545.333	910.667
70	0	131	131	131	422.667	874.667
71	0	74	74	74	397.333	838.667
72	0	78	78	78	434.667	828.000
73	0	63	63	63	321.333	882.667
74	0	7	7	7	377.333	921.333
75	0	55	55	55	349.333	918.667
76	0	74	74	74	396.000	934.667
77	0	68	68	68	250.667	921.333
78	0	60	60	60	246.667	886.667
79	0	94	94	94	184.000	916.000
80	0	75	75	75	182.667	885.333
81	0	84	84	84	245.333	841.333
82	0	166	166	166	348.000	789.333
83	0	68	68	68	214.667	801.333
84	0	81	81	81	181.333	802.667
85	0	68	68	68	233.333	586.667
86	0	144	144	144	365.333	488.000
87	0	116	116	116	330.667	440.000
88	0	94	94	94	358.667	434.667
89	0	79	79	79	388.000	422.667
90	0	83	83	83	392.000	441.333
91	0	100	100	100	406.667	421.333
92	0	160	160	160	432.000	389.333
93	0	76	76	76	372.000	385.333
94	0	66	66	66	365.333	366.667
95	0	50	50	50	554.667	152.000
96	0	93	93	93	581.333	161.333
97	0	107	107	107	609.333	173.333
98	0	78	78	78	709.333	162.667
99	0	64	64	64	622.667	102.667
100	0	71	71	71	706.667	76.000
101	0	73	73	73	846.667	50.667
102	0	69	69	69	893.333	4.000
103	0	64	64	64	928.000	22.667
104	0	107	107	107	873.333	37.333
105	0	160	160	160	1065.333	41.333
106	0	72	72	72	1146.667	49.333
107	0	82	82	82	1205.333	201.333
108	0	59	59	59	1348.000	185.333
109	0	152	152	152	1304.000	268.000
110	0	16	16	16	1178.667	246.667
111	0	63	63	63	1200.000	234.667
112	0	93	93	93	1265.333	349.333
113	0	79	79	79	1213.333	380.000
114	0	88	88	88	1313.333	404.000
115	0	58	58	58	1296.000	484.000
116	0	73	73	73	1184.000	573.333
117	0	76	76	76	1070.667	617.333
118	0	119	119	119	1044.000	624.000
119	0	79	79	79	1041.333	661.333
120	0	160	160	160	1004.000	697.333
121	0	125	125	125	970.667	738.667
122	0	119	119	119	948.000	689.333
123	0	164	164	164	876.000	692.000
124	0	73	73	73	898.667	682.667
125	0	78	78	78	980.000	628.000
126	0	42	42	42	944.000	624.000
127	0	54	54	54	937.333	609.333
128	0	72	72	72	981.333	586.667
129	0	87	87	87	1045.333	598.667
130	0	154	154	154	1017.333	596.000
131	0	160	160	160	1032.000	569.333
132	0	73	73	73	1073.333	517.333
133	0	78	78	78	1069.333	546.667
134	0	116	116	116	1114.667	538.667
135	0	49	49	49	1129.333	506.667
136	0	68	68	68	908.000	742.667
137	0	62	62	62	885.333	749.333
138	0	140	140	140	908.000	718.667
139	0	156	156	156	829.333	726.667
140	0	101	101	101	776.000	764.000
141	0	88	88	88	756.000	766.667
142	0	83	83	83	712.000	790.667
143	0	60	60	60	708.000	778.667
144	0	112	112	112	660.000	796.000
145	0	79	79	79	652.000	829.333
146	0	75	75	75	589.333	829.333
147	0	83	83	83	573.333	845.333
148	0	91	91	91	598.667	806.667
149	0	60	60	60	557.333	805.333
150	0	56	56	56	505.333	812.000
151	0	80	80	80	506.667	780.000
152	0	49	49	49	586.667	754.667
153	0	49	49	49	621.333	718.667
154	0	85	85	85	654.667	716.000
155	0	109	109	109	669.333	737.333
156	0	128	128	128	693.333	721.333
157	0	88	88	88	698.667	689.333
158	0	106	106	106	804.000	657.333
159	0	117	117	117	786.667	698.667
160	0	127	127	127	932.000	572.000
161	0	94	94	94	933.333	550.667
162	0	124	124	124	958.667	545.333
163	0	134	134	134	993.333	528.000
164	0	116	116	116	1033.333	525.333
165	0	57	57	57	941.333	510.667
166	0	77	77	77	1042.667	454.667
167	0	92	92	92	1018.667	465.333
168	0	82	82	82	928.000	440.000
169	0	84	84	84	898.667	458.667
170	0	118	118	118	877.333	404.000
171	0	18	18	18	900.000	388.000
172	0	88	88	88	968.000	393.333
173	0	85	85	85	946.667	356.000
174	0	102	102	102	926.667	350.667
175	0	175	175	175	945.333	328.000
176	0	152	152	152	993.333	306.667
177	0	90	90	90	1000.000	325.333
178	0	71	71	71	1073.333	278.667
179	0	80	80	80	1112.000	300.000
180	0	102	102	102	1126.667	404.000
181	0	96	96	96	1106.667	409.333
182	0	65	65	65	1125.333	386.667
183	0	65	65	65	1057.333	116.000
184	0	98	98	98	970.667	104.000
185	0	52	52	52	984.000	130.667
186	0	83	83	83	1009.333	194.667
187	0	95	95	95	948.000	240.000
188	0	112	112	112	882.667	196.000
189	0	58	58	58	864.000	213.333
190	0	99	99	99	812.000	118.667
191	0	97	97	97	733.333	202.667
192	0	135	135	135	718.667	224.000
193	0	144	144	144	748.000	233.333
194	0	76	76	76	710.667	249.333
195	0	111	111	111	778.667	274.667
196	0	139	139	139	810.667	264.000
197	0	93	93	93	826.667	280.000
198	0	108	108	108	813.333	292.000
199	0	156	156	156	856.000	284.000
200	0	106	106	106	876.000	309.333
201	0	15	15	15	921.333	309.333
202	0	57	57	57	942.667	301.333
203	0	160	160	160	857.333	349.333
204	0	125	125	125	721.333	365.333
205	0	85	85	85	664.000	290.667
206	0	100	100	100	645.333	253.333
207	0	133	133	133	622.667	264.000
208	0	85	85	85	604.000	289.333
209	0	83	83	83	588.000	290.667
210	0	98	98	98	553.333	290.667
211	0	95	95	95	534.667	309.333
212	0	56	56	56	505.333	245.333
213	0	78	78	78	458.667	257.333
214	0	75	75	75	553.333	221.333
215	0	66	66	66	494.667	338.667
216	0	93	93	93	530.667	341.333
217	0	98	98	98	529.333	477.333
218	0	109	109	109	585.333	494.667
219	0	60	60	60	613.333	469.333
220	0	95	95	95	632.000	484.000
221	0	183	183	183	662.667	484.000
222	0	83	83	83	685.333	477.333
223	0	119	119	119	696.000	521.333
224	0	121	121	121	753.333	482.667
225	0	174	174	174	790.667	508.000
226	0	160	160	160	834.667	494.667
227	0	126	126	126	804.000	318.667
228	0	65	65	65	830.667	434.667
229	0	86	86	86	856.000	657.333
230	0	87	87	87	646.667	625.333
231	0	96	96	96	598.667	670.667
232	0	114	114	114	552.000	728.000
233	0	17	17	17	550.667	697.333
234	0	96	96	96	516.000	701.333
235	0	85	85	85	497.333	744.000
236	0	68	68	68	436.000	738.667
237	0	131	131	131	416.000	768.000
238	0	84	84	84	462.667	780.000
239	0	95	95	95	445.333	689.333
240	0	140	140	140	422.667	716.000
241	0	118	118	118	382.667	758.667
242	0	82	82	82	349.333	636.000
243	0	159	159	159	300.000	737.333
244	0	92	92	92	545.333	638.667
245	0	105	105	105	581.333	624.000
246	0	131	131	131	556.000	618.667
247	0	102	102	102	573.333	585.333
248	0	93	93	93	658.667	552.000
249	0	64	64	64	676.000	572.000
250	0	160	160	160	658.667	529.333
251	0	73	73	73	402.667	536.000
252	0	90	90	90	410.667	561.333
253	0	39	39	39	445.333	550.667
254	0	85	85	85	505.333	534.667
255	0	108	108	108	530.667	558.667
256	0	113	113	113	510.667	592.000
257	0	60	60	60	594.667	360.000
258	0	93	93	93	1237.333	810.667
259	0	101	101	101	1221.333	768.000
260	0	164	164	164	656.000	386.667
