 	Area	Mean	Min	Max	X	Y
1	0	90	90	90	382.304	957.849
2	0	163	163	163	384.393	978.740
3	0	117	117	117	405.284	969.339
4	0	87	87	87	453.333	1003.810
5	0	42	42	42	460.645	981.874
6	0	102	102	102	551.521	946.359
7	0	71	71	71	523.318	939.048
8	0	138	138	138	540.031	920.246
9	0	86	86	86	523.318	905.622
10	0	163	163	163	605.837	986.052
11	0	163	163	163	608.971	1011.121
12	0	63	63	63	637.174	988.141
13	0	138	138	138	685.223	939.048
14	0	82	82	82	702.980	946.359
15	0	87	87	87	716.559	944.270
16	0	107	107	107	762.519	958.894
17	0	71	71	71	735.361	989.186
18	0	77	77	77	713.426	972.473
19	0	97	97	97	699.846	975.607
20	0	81	81	81	948.449	957.849
21	0	138	138	138	946.359	981.874
22	0	96	96	96	923.379	925.469
23	0	36	36	36	1012.166	862.796
24	0	92	92	92	990.230	882.642
25	0	103	103	103	1165.714	746.851
26	0	85	85	85	1198.095	706.114
27	0	116	116	116	1256.590	666.421
28	0	115	115	115	1275.392	655.975
29	0	36	36	36	1132.289	689.401
30	0	163	163	163	932.780	776.098
31	0	85	85	85	934.869	765.653
32	0	163	163	163	975.607	718.648
33	0	93	93	93	1014.255	686.267
34	0	163	163	163	1016.344	669.555
35	0	82	82	82	1041.413	640.307
36	0	24	24	24	1026.790	616.283
37	0	95	95	95	1000.676	648.664
38	0	99	99	99	988.141	659.109
39	0	67	67	67	946.359	697.757
40	0	164	164	164	870.108	725.960
41	0	163	163	163	890.998	720.737
42	0	91	91	91	836.682	760.430
43	0	92	92	92	816.836	764.608
44	0	107	107	107	816.836	782.366
45	0	163	163	163	799.078	799.078
46	0	24	24	24	808.479	839.816
47	0	59	59	59	735.361	833.548
48	0	86	86	86	626.728	843.994
49	0	82	82	82	619.416	881.598
50	0	84	84	84	583.902	818.925
51	0	80	80	80	563.011	804.301
52	0	163	163	163	685.223	752.074
53	0	163	163	163	704.025	744.762
54	0	61	61	61	707.158	770.876
55	0	163	163	163	680.000	706.114
56	0	160	160	160	666.421	676.866
57	0	163	163	163	725.960	663.287
58	0	163	163	163	718.648	640.307
59	0	163	163	163	745.806	627.773
60	0	138	138	138	785.499	627.773
61	0	61	61	61	808.479	604.793
62	0	163	163	163	828.326	621.505
63	0	72	72	72	809.524	648.664
64	0	163	163	163	862.796	647.619
65	0	47	47	47	880.553	598.525
66	0	163	163	163	922.335	608.971
67	0	163	163	163	922.335	566.144
68	0	95	95	95	912.934	538.986
69	0	163	163	163	858.618	574.501
70	0	111	111	111	830.415	554.654
71	0	109	109	109	860.707	507.650
72	0	115	115	115	799.078	533.763
73	0	163	163	163	749.985	593.303
74	0	163	163	163	745.806	535.853
75	0	163	163	163	747.896	508.694
76	0	163	163	163	734.316	499.293
77	0	104	104	104	731.183	480.492
78	0	163	163	163	796.989	446.022
79	0	96	96	96	824.147	437.665
80	0	163	163	163	854.439	435.576
81	0	163	163	163	885.776	383.349
82	0	126	126	126	912.934	435.576
83	0	85	85	85	888.909	444.977
84	0	72	72	72	958.894	415.730
85	0	96	96	96	976.651	426.175
86	0	78	78	78	338.433	825.192
87	0	76	76	76	439.754	809.524
88	0	86	86	86	431.398	725.960
